Plant Name,Inspection Date,Violation?
"('DONALD C', ' C')","January 17, 2023",violation
n/a,n/a,n/a
n/a,n/a,n/a
"('POINT BEACH NUCLEAR PLANT', ' PLANT')","April 10, 2023",violation
n/a,n/a,n/a
"('DIABLO CANYON POWER PLANT', ' PLANT')","April 6, 2023",violation
"('SOUTH TEXAS PROJECT ELECTRIC GENERATING STATION', ' STATION')","April 20, 2023",violation
"('MONTICELLO NUCLEAR GENERATING PLANT', ' PLANT')","April 13, 2023",violation
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
"('QUAD CITIES NUCLEAR POWER STATION', ' STATION')","April 25, 2023",violation
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
"('CLINTON POWER STATION', ' STATION')","April 6, 2023",violation
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
"('PERRY NUCLEAR POWER PLANT', ' PLANT')","April 13, 2023",violation
n/a,n/a,n/a
"('TURKEY POINT UNITS 3', ' 3')","April 18, 2023",violation
n/a,n/a,n/a
n/a,n/a,n/a
"('DAVIS', '')","April 7, 2023",violation
"('ST LUCIE UNITS 1', ' 1')","April 6, 2023",violation
"('DONALD C', ' C')","April 12, 2023",violation
"('BYRON STATION', ' STATION')","March 24, 2023",violation
n/a,n/a,n/a
n/a,n/a,n/a
"('BYRON STATION', ' STATION')","April 11, 2023",violation
n/a,n/a,n/a
"('COLUMBIA GENERATING STATION', ' STATION')","April 13, 2023",violation
"('VOGTLE ELECTRIC GENERATING PLANT', ' PLANT')","April 13, 2023",violation
"('JOSEPH M', ' M')","February 2, 2023",violation
"('BRAIDWOOD STATION', ' STATION')","April 14, 2023",violation
"('PRAIRIE ISLAND NUCLEAR GENERATING PLANT', ' PLANT')","April 17, 2023",violation
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
"('COMANCHE PEAK NUCLEAR POWER PLANT', ' PLANT')","April 13, 2023",violation
n/a,n/a,n/a
n/a,n/a,n/a
"('SURRY POWER STATION', ' STATION')","April 20, 2023",violation
n/a,n/a,n/a
"('WATTS BAR NUCLEAR PLANT', ' PLANT')","April 19, 2023",violation
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
"('VOGTLE ELECTRIC GENERATING PLANT', ' PLANT')","April 25, 2023",violation
"('RIVER BEND STATION', ' STATION')","April 4, 2023",violation
"('BRUNSWICK STEAM ELECTRIC PLANT', ' PLANT')","May 1, 2023",violation
n/a,n/a,n/a
"('BROWNS FERRY NUCLEAR PLANT', ' PLANT')","February 9, 2023",violation
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
"('LASALLE COUNTY STATION', ' STATION')","April 12, 2023",violation
"('CATAWBA NUCLEAR STATION', ' STATION')","May 3, 2023",violation
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
"('MCGUIRE NUCLEAR STATION', ' STATION')","April 12, 2023",violation
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
n/a,n/a,n/a
"('NORTH ANNA POWER STATION', ' STATION')","April 20, 2023",violation
"('PALO VERDE NUCLEAR GENERATING STATION AND INDEPENDENT', ' INDEPENDENT')","April 18, 2023",violation
n/a,n/a,n/a
n/a,n/a,n/a
"('BROWNS FERRY NUCLEAR PLANT', ' PLANT')","April 17, 2023",violation
"('SEQUOYAH', '')","April 25, 2023",violation
n/a,n/a,n/a
"('CALLAWAY PLANT', ' PLANT')","April 5, 2023",violation
n/a,n/a,n/a
n/a,n/a,n/a
"('JOSEPH M', ' M')","April 25, 2023",violation
n/a,n/a,n/a
n/a,n/a,n/a
"('DRESDEN NUCLEAR POWER STATION', ' STATION')","April 12, 2023",violation
"('SHEARON HARRIS NUCLEAR PLANT', ' PLANT')","May 8, 2023",violation
n/a,n/a,n/a
n/a,n/a,n/a
